Region,Freesurfer_order,Abagen_order,Enigma_order
L_bankssts,72,1,1
L_caudalanteriorcingulate,54,2,2
L_caudalmiddlefrontal,50,3,3
L_cuneus,62,4,4
L_entorhinal,68,5,5
L_fusiform,66,6,6
L_inferiorparietal,60,7,7
L_inferiortemporal,70,8,8
L_isthmuscingulate,56,9,9
L_lateraloccipital,64,10,10
L_lateralorbitofrontal,42,11,11
L_lingual,65,12,12
L_medialorbitofrontal,45,13,13
L_middletemporal,71,14,14
L_parahippocampal,67,15,15
L_paracentral,52,16,16
L_parsopercularis,47,17,17
L_parsorbitalis,43,18,18
L_parstriangularis,46,19,19
L_pericalcarine,63,20,20
L_postcentral,57,21,21
L_posteriorcingulate,55,22,22
L_precentral,51,23,23
L_precuneus,61,24,24
L_rostralanteriorcingulate,53,25,25
L_rostralmiddlefrontal,48,26,26
L_superiorfrontal,49,27,27
L_superiorparietal,59,28,28
L_superiortemporal,73,29,29
L_supramarginal,58,30,30
L_frontalpole,44,31,31
L_temporalpole,69,32,32
L_transversetemporal,74,33,33
L_insula,75,34,34
L_thalamusproper,76,35,75
L_caudate,77,36,71
L_putamen,78,37,74
L_pallidum,79,38,73
L_accumbensarea,80,39,69
L_hippocampus,81,40,72
L_amygdala,82,41,70
R_bankssts,31,42,35
R_caudalanteriorcingulate,13,43,36
R_caudalmiddlefrontal,9,44,37
R_cuneus,21,45,38
R_entorhinal,27,46,39
R_fusiform,25,47,40
R_inferiorparietal,19,48,41
R_inferiortemporal,29,49,42
R_isthmuscingulate,15,50,43
R_lateraloccipital,23,51,44
R_lateralorbitofrontal,1,52,45
R_lingual,24,53,46
R_medialorbitofrontal,4,54,47
R_middletemporal,30,55,48
R_parahippocampal,26,56,49
R_paracentral,11,57,50
R_parsopercularis,6,58,51
R_parsorbitalis,2,59,52
R_parstriangularis,5,60,53
R_pericalcarine,22,61,54
R_postcentral,16,62,55
R_posteriorcingulate,14,63,56
R_precentral,10,64,57
R_precuneus,20,65,58
R_rostralanteriorcingulate,12,66,59
R_rostralmiddlefrontal,7,67,60
R_superiorfrontal,8,68,61
R_superiorparietal,18,69,62
R_superiortemporal,32,70,63
R_supramarginal,17,71,64
R_frontalpole,3,72,65
R_temporalpole,28,73,66
R_transversetemporal,33,74,67
R_insula,34,75,68
R_thalamusproper,35,76,82
R_caudate,36,77,79
R_putamen,37,78,81
R_pallidum,38,79,80
R_accumbensarea,39,80,76
R_hippocampus,40,81,79
R_amygdala,41,82,77
brainstem,83,83,83